antecedente,consecuente,soporte_a,soporte_c,soporte_ab,confianza,lift,conteo
Salsa tomate Lizano,CLORO IREX BOLSA 450ML,0.016224810980952072,0.019469773177142487,0.006489924392380829,40.0,16.44,2
DETERGENTE IREX ACEITE LAVANDA 450gr,CAFE DORADO 2PACK,0.0454294707466658,0.02920465976571373,0.025959697569523318,57.14285714285714,15.65,8
COLOR VEG ROJO,COLOR VEG VERDE,0.025959697569523318,0.025959697569523318,0.012979848784761659,50.0,15.41,4
PAPAEL HIGIENICO SCOTT 1X12 DOBLE HOJA,ALIMENTO PARA CONEJO ENGORDE 1K,0.019469773177142487,0.025959697569523318,0.009734886588571244,50.0,15.41,3
ACEITE CLOVER SOYA 3 LTR,ARROZ TIO PELON 90% SELE 1.5kg,0.019469773177142487,0.025959697569523318,0.009734886588571244,50.0,15.41,3
bokita club integral bs 9,AXION BARRA LIMON 250G,0.032449621961904145,0.016224810980952072,0.009734886588571244,30.0,14.79,3
GELATINA ROYAL LIMON BOLS80GRS,GELATINA UVA 80 GS Z,0.032449621961904145,0.016224810980952072,0.009734886588571244,30.0,14.79,3
GALLETA DULCE NAVIDAD,GALLETA MINI MANTEQUILLA POZUELO,0.0227147353733329,0.016224810980952072,0.006489924392380829,28.57142857142857,14.09,2
MILAN x 12 und,GALLETA MILAN MENTA 134G,0.016224810980952072,0.0227147353733329,0.006489924392380829,40.0,14.09,2
BEBIDA PREPARADA KARMA PIñA COLADA 350 ML,BEBIDA PREPARADA KARMAMANGODAIQUIRI 350 ML,0.0227147353733329,0.016224810980952072,0.006489924392380829,28.57142857142857,14.09,2
CORTINA DE FIESTA 04095/51058-51,GLOBOS COLORES 10 U,0.0227147353733329,0.016224810980952072,0.006489924392380829,28.57142857142857,14.09,2
TORTILLA TETE FAJAS 500 GS,GALLETA YEMA POZUELO PTE/6,0.0227147353733329,0.016224810980952072,0.006489924392380829,28.57142857142857,14.09,2
MARSHMALLOW STARS QUAKER 377G,TIRAS ACTIVAS MR MUSCULO LAVANDA,0.0227147353733329,0.016224810980952072,0.006489924392380829,28.57142857142857,14.09,2
ZUKO TE FRIO FRAMBUESA 13gr,ZUKO LIMON 13gr,0.0227147353733329,0.016224810980952072,0.006489924392380829,28.57142857142857,14.09,2
CANELON PETALO ROMA,GALLETA YEMA POZUELO PTE/6,0.0227147353733329,0.016224810980952072,0.006489924392380829,28.57142857142857,14.09,2
ADAN Y EVA TONIC PEPINO,ADAN Y EVA ORANGE SPRITZ,0.0227147353733329,0.016224810980952072,0.006489924392380829,28.57142857142857,14.09,2
ADAN Y EVA TONIC PEPINO,ADAN Y EVA MOSCOW MULE 3550 ML,0.0227147353733329,0.016224810980952072,0.006489924392380829,28.57142857142857,14.09,2
BEBIDA PREPARADA KARMA GUARANA 350 ML,BEBIDA PREPARADA KARMAMANGODAIQUIRI 350 ML,0.0227147353733329,0.016224810980952072,0.006489924392380829,28.57142857142857,14.09,2
"avena corazon inst, linaza",ph. delsey 2 preg. 12x4,0.02920465976571373,0.019469773177142487,0.009734886588571244,33.33333333333333,13.7,3
CORAZON GALLITO 25und,Bon o bon choco fresa 75g,0.02920465976571373,0.019469773177142487,0.009734886588571244,33.33333333333333,13.7,3
PROTECTOR KOTEX  LARGOS 1X15,ARROZ TIO PELON ROJO 91% 9K,0.025959697569523318,0.02920465976571373,0.012979848784761659,50.0,13.7,4
ACEITE CLOVER SOYA 3 LTR,CONSOME DE POLLO MAGGUI 225G,0.019469773177142487,0.019469773177142487,0.006489924392380829,33.33333333333333,13.7,2
CONSOME DE POLLO MAGGUI 225G,RINSO ROSAS Y LILAS 1500G,0.019469773177142487,0.019469773177142487,0.006489924392380829,33.33333333333333,13.7,2
ACEITE CLOVER SOYA 3 LTR,RINSO ROSAS Y LILAS 1500G,0.019469773177142487,0.019469773177142487,0.006489924392380829,33.33333333333333,13.7,2
ANGELITO CHOCOLATE,ANGELITO FRESA,0.038939546354284975,0.02920465976571373,0.019469773177142487,50.0,13.7,6
AXION LIQUIDO 400 ML,Suavisante Terso,0.019469773177142487,0.019469773177142487,0.006489924392380829,33.33333333333333,13.7,2
